SAMPLE,SITE,SUBSITE,DATE,SEASON,GPS,PLAYBACK,START TIME,SPECIES,GROUP SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER ALARM,ALARMS/GS,MOBS,CALLS/GS,TOTAL VOCALIZATIONS,TOTAL/GS,DISTANCE (m),HEIGHT (m),HYPOTENUSE,LATENCY ALARM (s),NOTES
136,MAINLAND,BDER,02/24/2026,WINTER,"37°3'5""N, 122°8'13""W",YES,819,CASJ,2,HAWK,YES,YES,YES,NO,1,0.500,7,3.500,8,4.000,16.9,6,17.93,2.874,
137,MAINLAND,BDER,02/24/2026,WINTER,"37°3'1""N,122°8'8""W",NO,827,CASJ,2,CONTROL,YES,YES,NO,NO,11,5.500,0,0.000,11,5.500,28,2,28.07,0.501,
24,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'32""N, 122°3'40""W",--,710,CASJ,2,HAWK,YES,YES,YES,NO,10,5.000,8,4.000,18,9.000,18.3,3,18.54,1.02,
24,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'32""N, 122°3'40""W",--,710,CASJ,2,HAWK,YES,YES,YES,NO,10,5.000,8,4.000,18,9.000,18.3,3,18.54,1.02,
25,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'11""N, 122°3'40""W",--,745,CASJ,2,HAWK,YES,YES,YES,NO,6,3.000,6,3.000,12,6.000,,,,,
26,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'9""N, 122°3'48""W",--,805,CASJ,2,CONTROL,YES,YES,YES,NO,0,0.000,2,1.000,2,1.000,15.6,0,15.60,-,no alarm vocalizations
26,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'9""N, 122°3'48""W",--,805,CASJ,2,CONTROL,YES,YES,YES,NO,0,0.000,2,1.000,2,1.000,15.6,0,15.60,-,no alarm vocalizations
27,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'18""N 122°03'55""W",--,821,CASJ,1,HAWK,YES,YES,NO,NO,4,4.000,0,0.000,4,4.000,15.8,6,16.90,0.947,
27,MAINLAND,CAMPUS,07/16/2025,SUMMER,"36°59'18""N 122°03'55""W",--,821,CASJ,1,HAWK,YES,YES,YES,NO,4,4.000,0,0.000,4,4.000,15.8,6,16.90,0.947,
28,CAMPUS,CAMPUS,07/16/2025,SUMMER,"36°59'27""N 122°03'46""W",--,844,STJA,5,HAWK,YES,YES,YES,YES,25,5.000,6,1.200,31,6.200,7.8,0,7.80,0.865,"INTEREST = MOB, two HAWO and tree squirrels also alarmed in response to STJA alarm"
117,MAINLAND,CAMPUS,01/17/2026,WINTER,"36°59'8""N,122°3'48""W",NO,854,CASJ,1,HAWK,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,8.6,2,8.83,NA,
118,MAINLAND,CAMPUS,01/17/2026,WINTER,"36°59'13""N,122°3'40""W",NO,938,CASJ,1,CONTROL,YES,YES,YES,NO,11,11.000,7,7.000,18,18.000,16.4,2,16.52,1.886,
119,MAINLAND,CAMPUS,01/17/2026,WINTER,"36°59'5""N,122°3'40""W",NO,957,CASJ,1,HAWK,YES,YES,YES,NO,7,7.000,6,6.000,13,13.000,28.2,4,28.48,NA,recording too shit to get latency
120,MAINLAND,CAMPUS,01/17/2026,WINTER,"36°59'18""N,122°3'53""W",NO,1004,CASJ,1,CONTROL,YES,NO,YES,NO,0,0.000,1,1.000,1,1.000,28.4,0,28.40,NA,
123,MAINLAND,CAMPUS,02/03/2026,WINTER,"36°59'31""N,122°3'43""W",YES,713,CASJ,2,CONTROL,YES,YES,YES,NO,5,2.500,11,5.500,16,8.000,18.7,6,19.64,1.037,
124,MAINLAND,CAMPUS,02/03/2026,WINTER,"36°59'15""N,122°3'29""W",YES,730,CASJ,2,CONTROL,YES,YES,NO,NO,6,3.000,0,0.000,6,3.000,20.1,1,20.12,1.1,
125,MAINLAND,CAMPUS,02/03/2026,WINTER,--,NO,805,CASJ,1,HAWK,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,22.1,8,23.50,NA,
126,MAINLAND,CAMPUS,02/03/2026,WINTER,"36°59'6""N,122°3'52""W",NO,815,CASJ,2,HAWK,YES,YES,YES,NO,17,8.500,10,5.000,27,13.500,16.2,13.5,21.09,0.919,
127,MAINLAND,CAMPUS,02/03/2026,WINTER,"36°59'12""N,122°3'38""W",NO,825,CASJ,1,HAWK,YES,YES,YES,NO,13,13.000,1,1.000,14,14.000,23.5,3.2,23.72,0.718,
128,MAINLAND,CAMPUS,02/03/2026,WINTER,--,NO,843,CASJ,2,HAWK,YES,YES,NO,NO,6,3.000,0,0.000,6,3.000,,6,,1.559,
44,ISLAND,FIELD,07/25/2025,SUMMER,"33°59'48""N 119°43'38""W",--,1208,ISSJ,2,CONTROL,NO,NO,NO,YES,0,0.000,0,0.000,0,0.000,9.3,3,9.77,-,no recording :(
