SAMPLE,SITE,SUBSITE,DATE,SEASON,PLAYBACK,START.TIME,SPECIES,GROUP.SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER.ALARM,NUMBER.MOB,HYPOTENUSE,LATENCY.ALARM
21,MAINLAND,FOER,07/09/2025,SUMMER,NA,718,CASJ,2,HAWK,1,1,0,0,7,0,11.66,0.91
22,MAINLAND,FOER,07/09/2025,SUMMER,NA,739,CASJ,2,HAWK,1,1,1,0,8,8,NA,NA
23,MAINLAND,FOER,07/09/2025,SUMMER,NA,802,CASJ,3,CONTROL,1,1,1,0,2,6,17,1.576
23,MAINLAND,FOER,07/09/2025,SUMMER,NA,802,CASJ,3,CONTROL,1,1,1,0,2,6,17,1.576
61,ISLAND,HARBORBLVD,07/26/2025,SUMMER,NA,1026,ISSJ,1,CONTROL,1,1,1,1,5,1,16.12,1.173
62,ISLAND,HARBORBLVD,07/26/2025,SUMMER,NA,1036,ISSJ,2,HAWK,1,1,1,0,10,2,17.61,1.003
63,ISLAND,HARBORBLVD,07/26/2025,SUMMER,NA,1048,ISSJ,2,CONTROL,1,0,0,1,0,0,16.77,NA
64,ISLAND,HARBORBLVD,07/26/2025,SUMMER,NA,1100,ISSJ,5,HAWK,1,1,1,1,21,1,22.32,0.87
138,ISLAND,HARBORBLVD,3/6/2026,WINTER,YES,707,ISSJ,2,HAWK,1,1,0,0,5,0,11.98,2.21
139,ISLAND,HARBORBLVD,3/6/2026,WINTER,NO,713,ISSJ,1,CONTROL,0,0,0,0,0,0,30.27,NA
140,ISLAND,HARBORBLVD,3/6/2026,WINTER,YES,816,ISSJ,2,HAWK,1,1,0,0,3,0,16.65,1.232
141,ISLAND,HARBORBLVD,3/6/2026,WINTER,YES,825,ISSJ,2,CONTROL,1,1,0,0,13,0,19.6,4.692
65,ISLAND,PRISONERS,07/26/2025,SUMMER,NA,1245,ISSJ,1,CONTROL,1,0,0,0,0,0,15.3,NA
66,ISLAND,PRISONERS,07/26/2025,SUMMER,NA,1250,ISSJ,1,HAWK,1,1,0,0,3,0,9.3,1.071
67,ISLAND,PRISONERS,07/26/2025,SUMMER,NA,1259,ISSJ,1,HAWK,1,1,0,1,2,0,16.53,1.224
68,ISLAND,PRISONERS,07/26/2025,SUMMER,NA,1334,ISSJ,1,CONTROL,1,0,0,1,0,0,12.72,NA
69,ISLAND,PRISONERS,07/26/2025,SUMMER,NA,1353,ISSJ,2,HAWK,1,1,0,1,2,0,16.52,1.437
88,ISLAND,PRISONERS,07/28/2025,SUMMER,NA,739,ISSJ,1,CONTROL,0,0,0,1,0,0,22.5,NA
